subject,custom_identifier,label,format,date_text,year_published_from,year_published_to,place,book_type,coordinates,languages,authors,publishers
http://sphaera.mpiwg-berlin.mpg.de/id/item/9b905cb2-88ee-477e-9745-0c3f5adf3c3a,2249,Sphaerica disciplina,Octavo,,1585,1585,Lemgo,Adaption (treatise strongly influenced by original tract),"52.027222222, 8.911666666",Latin,"Scribonius, Wilhelm Adolf","Grothe, Konrad"
http://sphaera.mpiwg-berlin.mpg.de/id/item/aeefc2a9-d142-4d3b-b0c1-415458e3271f,1777,Cosmographia in quatuor libros distributa,Octavo,,1585,1585,Venice,Adaption (treatise strongly influenced by original tract),"45.43713, 12.33265",Latin,"Barozzi, Francesco","Percacino, Grazioso"
http://sphaera.mpiwg-berlin.mpg.de/id/item/7e241bb5-41e3-4e08-9ab1-547a93fe6b3d,1971,Sphaera Ioannis de Sacro Bosco emendata,Octavo,,1586,1586,Venice,Annotated original text and compilation of texts,"45.43713, 12.33265",Latin,"Sacrobosco, Johannes de;Vinet, Élie;Nunes, Pedro;Valeriano, Pierio",Heirs of Girolamo Scotto
http://sphaera.mpiwg-berlin.mpg.de/id/item/1b5f58af-c396-4fc9-bd85-1ce63a58aae0,1743,Sphaera Ioannis de Sacrobusto,Octavo,,1587,1587,Venice,Compilation of texts,"45.43713, 12.33265",Latin,"Sacrobosco, Johannes de",Heirs of Melchiorre Sessa I.
http://sphaera.mpiwg-berlin.mpg.de/id/item/24d7c23f-1a4d-45df-b1fe-e810a45501bc,2171,"Elementa doctrinae de circulis coelestibus, et primo motu",Octavo,,1587,1587,Wittenberg,Adaption (treatise strongly influenced by original tract),"51.8671, 12.6484",Latin,"Peucer, Kaspar","Gronenberg, Simon"
http://sphaera.mpiwg-berlin.mpg.de/id/item/9e3d329b-a28d-419c-9191-623efae138d5,2245,Isagoge sphaerica methodice,Octavo,,1587,1587,Frankfurt (Main),Adaption (treatise strongly influenced by original tract),"50.113611111, 8.679722222",Latin,"Scribonius, Wilhelm Adolf","Wechel, Johann"
http://sphaera.mpiwg-berlin.mpg.de/id/item/9087fcf8-ed6b-439c-a46f-1e3872fab663,2255,Opere,Quarto,,1587,1587,Venice,,"45.43713, 12.33265",Italian,"Finé, Oronce;Bartoli, Cosimo;Bottrigari, Ercole","Franceschi, Francesco de"
http://sphaera.mpiwg-berlin.mpg.de/id/item/889cdc14-a546-4649-b912-bb6f9d579f23,2176,De Sphaera et primis astronomiae rudimentis libellus,Octavo,,1588,1588,Wittenberg,Adaption (treatise strongly influenced by original tract),"51.8671, 12.6484",Latin,"Blebel, Thomas",Anonymous
http://sphaera.mpiwg-berlin.mpg.de/id/item/a16d705e-e951-4d5a-9ab7-316f5645813a,2226,The Arte of Navigation,Quarto,,1589,1589,London,Adaption (treatise strongly influenced by original tract),"51.507222222, -0.1275",English,"Cortès, Martin;Eden, Richard","Watkins, Richard"
http://sphaera.mpiwg-berlin.mpg.de/id/item/cc55ac61-4e43-4871-b4f1-ce1539d6a334,2177,"De Sphaera, et primis astronomiae rudimentis Libellus",Octavo,,1590,1590,Sine loco,Adaption (treatise strongly influenced by original tract),,Latin,"Blebel, Thomas",Anonymous
http://sphaera.mpiwg-berlin.mpg.de/id/item/28e51631-562e-42aa-9589-f50a963c3233,2232,De sphaera mundi,Octavo,,1590,1590,Neustadt an der Weinstraße,Adaption (treatise strongly influenced by original tract),"49.35, 8.15",Latin,"Witekind, Hermann","Harnisch, Matthäus"
